Customer ID,Claim History,Previous Claims History,Credit Score,Driving Record
84966,5,3,728,DUI
95568,0,2,792,Clean
10544,4,1,719,Accident
77033,5,0,639,DUI
88160,3,3,720,Major Violations
60937,4,2,811,Major Violations
37676,3,1,836,Clean
54100,3,3,755,DUI
30476,0,1,811,Clean
39071,4,1,797,Accident
38477,2,1,626,Major Violations
38329,1,2,603,Major Violations
6580,4,3,619,Accident
67128,4,1,811,Clean
34814,2,2,646,Major Violations
86048,1,1,656,Minor Violations
24881,4,0,678,Clean
24076,3,2,523,DUI
38654,0,2,654,DUI
47840,4,3,653,Minor Violations
88939,0,1,704,Major Violations
76694,4,1,724,Clean
50165,2,2,799,Clean
44730,0,3,738,Major Violations
9015,4,1,548,Clean
62346,4,3,750,Major Violations
64156,1,1,832,DUI
86289,4,1,602,Major Violations
88530,0,2,816,Major Violations
9099,4,3,768,DUI
63711,5,1,668,Minor Violations
82780,3,1,682,DUI
63407,2,1,766,Clean
52061,4,1,646,Minor Violations
11966,5,1,828,Major Violations
16809,2,3,714,Minor Violations
70594,0,3,549,Accident
32721,0,3,723,Clean
8513,3,1,550,Major Violations
76143,1,1,562,DUI
4733,1,3,804,DUI
41370,4,0,712,Accident
76973,2,2,611,Accident
35026,4,1,772,DUI
86002,0,3,539,Accident
3173,1,0,826,Clean
31548,3,0,634,DUI
37925,4,0,711,Major Violations
66962,0,1,730,DUI
97147,5,0,721,DUI
61190,0,1,569,Clean
34601,4,1,826,Accident
93395,0,2,579,DUI
8965,4,1,581,Clean
86159,5,3,642,Major Violations
10037,0,0,519,Clean
89689,4,0,646,Clean
64170,3,3,570,Clean
64942,3,1,807,DUI
77788,4,1,544,Clean
75750,0,2,593,Accident
71321,1,3,625,Minor Violations
25732,4,3,649,Major Violations
37178,1,3,668,Minor Violations
47251,3,3,641,Major Violations
35701,1,3,826,Clean
63619,2,3,722,Major Violations
33539,3,2,775,Major Violations
46818,0,2,515,Clean
27897,4,3,683,DUI
61690,4,2,692,Minor Violations
45479,4,3,618,Clean
13229,5,1,623,Clean
59127,4,3,652,Accident
8775,3,1,641,Major Violations
86426,5,1,757,Clean
77714,1,2,659,Clean
17075,2,1,724,Minor Violations
46209,5,1,657,Accident
59115,5,0,568,Minor Violations
8967,1,3,726,Clean
65220,0,1,662,Accident
34756,5,3,797,Clean
8147,4,0,620,DUI
74505,4,0,635,Major Violations
11822,3,2,547,Clean
52985,3,0,569,Major Violations
75218,2,2,794,Clean
32118,4,3,605,Major Violations
37839,2,3,596,Minor Violations
88675,3,1,763,Clean
86928,4,1,543,DUI
35879,3,0,837,Minor Violations
92862,0,2,762,Accident
3792,0,3,558,Minor Violations
50536,5,1,803,DUI
88985,4,0,544,Minor Violations
22602,5,0,665,Major Violations
68789,3,1,562,Clean
37255,1,3,542,DUI
64515,0,1,810,DUI
32937,3,3,517,Major Violations
88158,4,2,807,Major Violations
34755,3,0,598,Minor Violations
80157,4,2,641,Accident
82166,1,3,803,DUI
21502,0,1,548,Clean
75533,4,0,629,Accident
74907,2,2,850,Minor Violations
32754,5,3,840,DUI
24738,4,1,574,Major Violations
23983,4,0,717,Clean
34916,5,0,823,Accident
89406,0,3,537,Major Violations
92373,3,3,644,Clean
76593,1,1,649,Clean
30952,0,2,774,Clean
70710,4,0,514,Major Violations
13102,2,3,799,Major Violations
795,4,2,564,Clean
44973,3,3,623,DUI
74898,4,1,549,Accident
87584,3,0,737,DUI
88239,3,1,629,Major Violations
58479,1,1,737,Minor Violations
63495,4,3,701,Major Violations
3068,0,1,569,Minor Violations
92659,4,3,763,Major Violations
53241,0,3,515,DUI
18426,0,0,703,Clean
68505,3,0,550,DUI
1059,2,1,513,Clean
40545,3,1,546,Clean
66444,3,3,574,Clean
86371,1,3,648,Clean
70519,3,1,694,Major Violations
77714,1,3,515,Clean
4353,0,2,755,Clean
34197,3,3,811,Major Violations
52881,0,3,694,Minor Violations
65441,5,0,758,Clean
12649,3,1,669,Major Violations
3894,3,3,666,Major Violations
56932,1,0,711,Accident
85183,1,1,729,Major Violations
33284,4,3,520,Major Violations
70102,0,2,725,DUI
70876,0,2,781,DUI
72479,0,0,580,Clean
50135,3,1,507,Clean
45454,5,0,768,DUI
96327,4,3,837,Clean
16203,2,1,670,DUI
2967,1,1,655,Major Violations
56310,5,2,634,DUI
97449,2,1,643,DUI
6857,5,1,843,DUI
35266,0,3,665,Minor Violations
96944,3,3,575,Major Violations
87312,3,3,541,Accident
36158,0,0,806,Minor Violations
25390,1,0,540,DUI
96532,4,0,622,DUI
15616,3,0,535,Minor Violations
87975,2,2,621,DUI
73773,0,2,611,Clean
76937,0,3,744,Minor Violations
74014,3,3,839,Clean
84495,5,2,708,DUI
91959,4,3,511,Major Violations
33206,3,1,796,Clean
24133,0,3,516,Clean
8957,4,2,552,Clean
87909,5,1,719,Major Violations
73298,1,0,795,Accident
64725,3,1,826,Accident
1,5,3,835,Minor Violations
9693,4,1,532,Major Violations
18120,3,3,647,Major Violations
71792,4,1,844,DUI
32971,0,1,546,Accident
85033,5,3,537,Clean
22629,4,1,758,Major Violations
4531,4,3,516,Major Violations
87799,3,2,569,DUI
72916,2,3,632,Minor Violations
80687,3,1,609,Clean
17558,4,3,838,Clean
88534,5,3,760,DUI
71506,3,3,645,Accident
7555,2,3,659,Clean
33860,4,1,576,Minor Violations
13972,5,2,552,Clean
90782,4,3,533,Major Violations
40537,3,0,575,DUI
67167,0,1,558,Accident
28436,4,2,616,DUI
38998,2,1,542,Major Violations
59833,0,3,822,Minor Violations
14322,4,3,574,Clean
4799,0,3,726,Accident
92641,3,3,789,Accident
46037,5,2,644,Major Violations
93855,4,1,778,Clean
34251,0,1,720,DUI
83837,3,3,717,Major Violations
66684,3,3,773,Major Violations
88923,5,2,718,Accident
85930,3,0,627,DUI
48246,5,1,709,Minor Violations
31319,4,3,503,Clean
86750,2,3,571,Accident
13273,0,0,654,DUI
65553,5,1,646,Minor Violations
96542,2,2,834,DUI
65421,0,1,517,Major Violations
4853,3,1,546,DUI
76083,5,2,636,DUI
34965,3,1,552,Clean
90065,2,2,795,Accident
37289,3,3,836,DUI
28260,3,1,692,Minor Violations
80597,0,2,831,Minor Violations
88404,1,0,666,Minor Violations
63153,0,1,600,Accident
36381,4,3,716,Clean
79371,2,3,536,Major Violations
65378,2,3,509,DUI
8293,4,2,583,DUI
40543,0,2,533,Clean
45444,3,3,542,Major Violations
69341,3,2,777,Clean
75160,5,1,703,Minor Violations
92338,0,3,510,Major Violations
5656,0,3,608,Minor Violations
77576,0,2,718,Accident
79511,3,1,655,Clean
59584,0,1,533,Clean
34861,3,3,808,Minor Violations
70463,0,3,726,Accident
80563,3,2,567,DUI
11388,3,1,800,Minor Violations
24662,4,3,663,Major Violations
5296,4,1,521,DUI
6543,0,1,521,Minor Violations
36456,0,3,604,Minor Violations
93687,4,1,559,Accident
10440,4,1,785,Accident
34878,3,1,616,Accident
24995,0,0,717,DUI
64396,4,1,754,Clean
93034,3,1,719,Accident
26729,4,2,646,Accident
22229,1,0,791,Major Violations
1815,4,1,538,Accident
69269,4,2,518,DUI
3589,5,3,732,Major Violations
68449,0,0,702,Minor Violations
79355,3,3,696,Minor Violations
65533,0,1,841,DUI
63071,0,3,773,Clean
33332,4,1,814,Major Violations
70855,0,2,663,Clean
96441,0,1,569,Clean
61751,3,0,744,Minor Violations
44443,1,2,671,Minor Violations
74936,3,0,832,Accident
51310,1,1,590,Accident
17137,0,3,779,Clean
94422,0,2,812,Minor Violations
41720,5,1,547,Clean
82442,1,3,602,Minor Violations
34401,5,1,629,Minor Violations
83008,4,3,521,DUI
70127,2,3,765,Clean
63069,1,1,766,Minor Violations
37978,4,3,574,Clean
63278,5,1,515,Clean
361,5,2,670,Accident
88902,3,0,595,Major Violations
70436,1,3,660,DUI
12666,3,1,774,Minor Violations
67617,0,3,818,Minor Violations
68232,4,3,649,Clean
69507,0,2,698,DUI
1517,0,3,516,Clean
88439,1,3,655,Minor Violations
53269,0,3,614,DUI
54900,1,1,505,Major Violations
76618,2,3,760,DUI
89714,4,3,726,Minor Violations
1,3,2,713,Accident
76410,5,2,544,Clean
76580,5,2,530,Minor Violations
96513,2,2,603,Clean
88393,1,1,507,Accident
72744,0,0,842,DUI
89406,3,3,804,Accident
28206,5,3,835,DUI
97196,2,1,726,Accident
39467,3,1,652,Major Violations
6353,2,0,721,DUI
75628,2,2,799,Clean
3553,3,3,637,Major Violations
81473,2,0,796,Accident
73662,4,0,723,Accident
5708,2,3,647,Minor Violations
67858,0,3,512,Minor Violations
13820,0,0,578,Accident
82344,4,2,556,Clean
65035,1,1,720,Clean
91345,4,3,827,Clean
16023,4,0,730,Minor Violations
91989,0,1,719,Major Violations
86456,2,2,716,DUI
88411,3,3,729,Major Violations
811,3,1,687,Clean
87437,1,3,600,Minor Violations
